2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:43:40,035.Netflix_Producer.INFO  [x] Sent b'9/11/2002,0.938570976'
2023-10-03 15:43:40,044.Netflix_Producer.INFO  [x] Sent b'9/11/2002,1629600'
2023-10-03 15:43:41,057.Netflix_Producer.INFO  [x] Sent b'9/12/2002,0.925000012'
2023-10-03 15:43:41,069.Netflix_Producer.INFO  [x] Sent b'9/12/2002,0.962857008'
2023-10-03 15:43:41,077.Netflix_Producer.INFO  [x] Sent b'9/12/2002,1943200'
2023-10-03 15:43:42,102.Netflix_Producer.INFO  [x] Sent b'9/13/2002,0.878570974'
2023-10-03 15:43:42,110.Netflix_Producer.INFO  [x] Sent b'9/13/2002,0.921428978'
2023-10-03 15:43:42,115.Netflix_Producer.INFO  [x] Sent b'9/13/2002,2485000'
2023-10-03 15:43:43,128.Netflix_Producer.INFO  [x] Sent b'9/16/2002,0.857142985'
2023-10-03 15:43:43,138.Netflix_Producer.INFO  [x] Sent b'9/16/2002,0.892143011'
2023-10-03 15:43:43,146.Netflix_Producer.INFO  [x] Sent b'9/16/2002,3512600'
2023-10-03 15:43:44,169.Netflix_Producer.INFO  [x] Sent b'9/17/2002,0.829999983'
